run_number,subs,pubs,duration,station_id_count,station_id_expected,city_count,city_expected,direction_count,direction_expected,temperature_count,temperature_expected,rain_count,rain_expected,wind_count,wind_expected,created_at_count,created_at_expected,station_id_config_percentage,station_id_actual_percentage,city_config_percentage,city_actual_percentage,direction_config_percentage,direction_actual_percentage,temperature_config_percentage,temperature_actual_percentage,rain_config_percentage,rain_actual_percentage,wind_config_percentage,wind_actual_percentage,created_at_config_percentage,created_at_actual_percentage
677,1447,1160,0.23833513259887695,0,0,0,0,0,0,0,0,1114,1114,0,0,1360,1360,0,0,0,0,0,0,0,0,0,0.16696588868940754,0,0,0.72,0.7205882352941176
678,1477,1313,0.17496037483215332,0,0,635,635,0,0,0,0,0,0,0,0,1107,1107,0,0,0.81,0.8110236220472441,0,0,0,0,0,0,0,0,0,0.16711833785004518
679,1206,1192,0.215681791305542,0,0,0,0,0,0,627,627,1206,1206,988,988,0,0,0,0,0,0,0,0,0.97,0.9712918660287081,0,0.16666666666666666,0,0.16700404858299595,0,0
680,1304,1062,0.1129462718963623,0,0,0,0,0,0,0,0,0,0,1304,1304,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.8803680981595092,0,0
681,1484,1447,0.4247615337371826,1291,1291,0,0,1291,1291,0,0,638,638,1350,1350,0,0,0,0.16731216111541442,0,0,0,0.16731216111541442,0,0,0.71,0.7100313479623824,0,0.16666666666666666,0,0
682,1453,1175,0.13506245613098145,0,0,0,0,0,0,0,0,1453,1453,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.9800412938747419,0,0,0,0
683,1105,1452,0.1545865535736084,0,0,0,0,0,0,342,342,0,0,0,0,906,906,0,0,0,0,0,0,0,0.16666666666666666,0,0,0,0,0.76,0.760485651214128
684,1486,1403,0.30050063133239746,1411,1411,0,0,1248,1248,520,520,0,0,0,0,0,0,0.86,0.8603827072997874,0,0,0,0.16666666666666666,0,0.1673076923076923,0,0,0,0,0,0
685,1263,1184,0.18307900428771973,0,0,593,593,1187,1187,0,0,618,618,0,0,0,0,0,0,0.86,0.8600337268128162,0.98,0.9806234203875316,0,0,0,0.16666666666666666,0,0,0,0
686,1148,1381,0.1340029239654541,631,631,0,0,0,0,0,0,528,528,596,596,0,0,0.67,0.6703645007923931,0,0,0,0,0,0,0,0.16666666666666666,0,0.16778523489932887,0,0
687,1389,1053,0.15599751472473145,0,0,0,0,0,0,0,0,0,0,1138,1138,555,555,0,0,0,0,0,0,0,0,0,0,0,0.16695957820738136,0.41,0.41081081081081083
688,1011,1238,0.08330726623535156,0,0,0,0,0,0,0,0,0,0,1011,1011,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.5806132542037586,0,0
689,1348,1056,0.14117956161499023,0,0,0,0,0,0,0,0,0,0,0,0,1348,1348,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0.8405044510385756
690,1280,1213,0.26401615142822266,0,0,268,268,665,665,1216,1216,0,0,1241,1241,0,0,0,0,0.75,0.75,0.8,0.8,0,0.1669407894736842,0,0,0.87,0.8702659145850121,0,0
691,1278,1211,0.1699972152709961,0,0,0,0,830,830,0,0,0,0,0,0,1073,1073,0,0,0,0,0,0.1674698795180723,0,0,0,0,0,0,0.9,0.9002795899347623
692,1455,1357,0.4098658561706543,1411,1411,0,0,552,552,1411,1411,0,0,1251,1251,0,0,0.98,0.9801559177888023,0,0,0,0.16666666666666666,0,0.16725726435152374,0,0,0.55,0.5507593924860112,0,0
693,1215,1233,0.4199790954589844,801,801,1105,1105,1166,1166,595,595,692,692,886,886,583,583,0,0.16729088639200998,0,0.167420814479638,0.56,0.5600343053173242,0.91,0.9109243697478991,0.72,0.7210982658959537,0.91,0.9108352144469526,0,0.1680960548885077
694,1446,1111,0.13694071769714355,0,0,1446,1446,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.27040110650069155,0,0,0,0,0,0,0,0,0,0
695,1193,1073,0.09612154960632324,0,0,0,0,0,0,1193,1193,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0.9404861693210393,0,0,0,0,0,0
696,1438,1197,0.19800996780395508,1092,1092,186,186,0,0,963,963,0,0,0,0,0,0,0,0.16666666666666666,0,0.16666666666666666,0,0,0.72,0.7206645898234684,0,0,0,0,0,0
697,1350,1268,0.1270442008972168,0,0,1350,1350,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0.86,0,0,0,0,0,0,0,0,0,0
698,1197,1069,0.14312362670898438,825,825,0,0,0,0,0,0,0,0,0,0,885,885,0.86,0.8606060606060606,0,0,0,0,0,0,0,0,0,0,0,0.1672316384180791
699,1372,1085,0.2823030948638916,0,0,740,740,850,850,0,0,1042,1042,0,0,727,727,0,0,0,0.16756756756756758,0,0.16705882352941176,0,0,0.9,0.9001919385796545,0,0,0.86,0.8610729023383769
700,1081,1289,0.29506373405456543,670,670,875,875,681,681,335,335,0,0,799,799,789,789,0,0.16716417910447762,0.89,0.8902857142857142,0,0.16740088105726872,0.9,0.9014925373134328,0,0,0,0.1677096370463079,0.86,0.8605830164765526
701,1224,1210,0.2641432285308838,440,440,722,722,587,587,795,795,783,783,0,0,0,0,0.89,0.8909090909090909,0,0.16759002770083103,0.28,0.28109028960817717,0,0.16729559748427672,0,0.1673052362707535,0,0,0,0
702,1078,1420,0.15048480033874512,0,0,0,0,1067,1067,0,0,0,0,970,970,0,0,0,0,0,0,0,0.1668228678537957,0,0,0,0,0.2,0.2,0,0
703,1403,1304,0.4317443370819092,462,462,1066,1066,0,0,0,0,126,126,1388,1388,1318,1318,0,0.16666666666666666,0,0.1669793621013133,0,0,0,0,0,0.16666666666666666,0.86,0.8602305475504323,0,0.1669195751138088
704,1294,1103,0.310283899307251,0,0,1074,1074,1112,1112,245,245,802,802,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0.1673469387755102,0,0.16708229426433915,0,0,0,0
705,1284,1338,0.3818652629852295,0,0,0,0,1040,1040,1014,1014,0,0,1271,1271,731,731,0,0,0,0,0,0.1673076923076923,0.39,0.3905325443786982,0,0,0.78,0.7804878048780488,0,0.16689466484268126
706,1246,1451,0.21356773376464844,0,0,37,37,0,0,1208,1208,0,0,0,0,872,872,0,0,0.91,0.918918918918919,0,0,0,0.1672185430463576,0,0,0,0,0.75,0.75
707,1157,1470,0.24445295333862305,0,0,0,0,0,0,266,266,0,0,1122,1122,867,867,0,0,0,0,0,0,0,0.16917293233082706,0,0,0.82,0.820855614973262,0,0.16724336793540945
708,1217,1474,0.16406512260437012,304,304,85,85,0,0,0,0,1083,1083,0,0,0,0,0.95,0.9506578947368421,0,0.17647058823529413,0,0,0,0,0.95,0.9501385041551247,0,0,0,0
709,1352,1124,0.4475886821746826,1135,1135,0,0,0,0,513,513,1311,1311,540,540,581,581,0,0.16740088105726872,0,0,0,0,0,0.16764132553606237,0.7,0.700228832951945,0.84,0.8407407407407408,0.71,0.7108433734939759
710,1372,1089,0.14602994918823242,0,0,576,576,0,0,0,0,795,795,0,0,0,0,0,0,0,0.16666666666666666,0,0,0,0,0.95,0.9509433962264151,0,0,0,0
711,1380,1243,0.18907666206359863,0,0,0,0,0,0,0,0,1380,1380,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.9304347826086956,0,0,0,0
712,1204,1460,0.235945463180542,0,0,0,0,0,0,252,252,903,903,638,638,0,0,0,0,0,0,0,0,0.97,0.9722222222222222,0,0.1672203765227021,0.6,0.6003134796238244,0,0
713,1213,1071,0.42596912384033203,1152,1152,0,0,606,606,0,0,1091,1091,873,873,0,0,0.99,0.9904513888888888,0,0,0,0.16666666666666666,0,0,0.97,0.9706691109074244,0,0.1672394043528064,0,0
714,1157,1231,0.258420467376709,0,0,532,532,0,0,277,277,0,0,937,937,1076,1076,0,0,0,0.16729323308270677,0,0,0,0.16967509025270758,0,0,0,0.16755602988260407,1.0,1.0
715,1011,1053,0.2319960594177246,0,0,0,0,414,414,394,394,586,586,404,404,606,606,0,0,0,0,0,0.16666666666666666,0.86,0.8604060913705583,0,0.16723549488054607,0,0.16831683168316833,0,0.16666666666666666
716,1339,1361,0.1530132293701172,0,0,388,388,0,0,0,0,0,0,0,0,950,950,0,0,0,0.16752577319587628,0,0,0,0,0,0,0,0,0.83,0.8305263157894737
717,1030,1031,0.17100906372070312,968,968,0,0,638,638,0,0,0,0,0,0,247,247,0,0.16735537190082644,0,0,0.69,0.6912225705329154,0,0,0,0,0,0,0,0.1700404858299595
